Headline,Summary,Date,Link,Preprocessed_Summary,Sentiment,Sentiment_Label,Top_Keywords,Entities
More Evidence Shows HPV Shot Helps Prevent Cervical Cancer: CDC Report,A recent CDC report further demonstrates the effectiveness of the HPV vaccine against cervical cancer. HPV is a sexually transmitted infection that…,2025-03-04 00:00:00,https://www.healthline.com/health-news/hpv-vaccine-helps-prevent-cervical-cancer-cdc-report,recent cdc report demonstrate effectiveness hpv vaccine cervical cancer hpv sexually transmit infection …,0.25,Positive,"['cancer', 'report', 'cdc', 'federal', 'human', 'high']","[('recent cdc', 'PERSON')]"
'Grey's Anatomy' Star Kate Walsh Shares Healthy Habits for Cancer Prevention,"Kate Walsh, formerly of ""Grey's Anatomy"" and ""Private Practice,"" shares how cancer impacted her life. The ""Emily and Paris"" actress was diagnosed with…",2025-03-01 00:00:00,https://www.healthline.com/health-news/kate-walsh-greys-anatomy-early-cancer-screening,kate walsh formerly grey 's anatomy private practice share cancer impact life emily paris actress diagnose …,-0.025,Negative,"['share', 'cancer', 'water', 'federal', 'human', 'high']","[('kate', 'PERSON'), ('grey', 'ORG'), ('paris', 'GPE')]"
"More Young Females Experiencing Untreated Perimenopause, Study Finds","A new study reports many women ages 30 to 35 may have untreated perimenopausal symptoms like brain fog, sleep disturbances, anxiety, irregular periods,",2025-02-27 00:00:00,https://www.healthline.com/health-news/untreated-perimenopause-symptoms-young-women,new study report many woman age 30 35 may untreated perimenopausal symptom like brain fog sleep disturbance anxiety irregular period,0.3181818181818182,Positive,"['like', 'may', 'report', 'study', 'new', 'water']","[('age 30 35', 'DATE')]"
"As Texas Measles Outbreak Grows, RFK Jr. Says ‘Parents Should Consider’ the Shot",HHS Secretary RFK Jr. reversed his anti-vaccination stance amid a growing measles outbreak in western Texas and said parents should to talk with…,2025-02-26 00:00:00,https://www.healthline.com/health-news/texas-measles-outbeak-low-vaccination-rates,hhs secretary rfk jr. reverse anti vaccination stance amid grow measle outbreak western texas say parent talk …,0.0,Neutral,"['measle', 'say', 'outbreak', 'secretary', 'jr', 'hhs']","[('rfk jr.', 'PERSON'), ('texas', 'GPE')]"
"Bird Flu Spread to Humans May Be a Few Mutations Away, but Overall Risk Is Low","The CDC reported several new asymptomatic human cases of bird flu, suggesting the virus may be silently spreading and potentially a few mutations away…",2025-02-25 00:00:00,https://www.healthline.com/health-news/cdc-bird-flu-spreading-to-humans-outbreak-risk,cdc report several new asymptomatic human case bird flu suggest virus may silently spread potentially mutation away …,0.02727272727272727,Positive,"['human', 'case', 'flu', 'may', 'cdc', 'report']","[('cdc', 'ORG')]"
"HHS' New Definitions of ‘Sex,’ ‘Man’ and ‘Woman’ Defy Science, Experts Say","HHS secretary RFK Jr. issued new sex-based definitions that exclude gender, which experts say goes against science. The move aligns with the Trump…",2025-02-24 00:00:00,https://www.healthline.com/health-news/hhs-issues-new-definitions-sex-gender-man-woman,hhs secretary rfk jr. issue new sex base definition exclude gender expert say go science move align trump …,-0.33181818181818185,Negative,"['trump', 'say', 'issue', 'secretary', 'jr', 'hhs']","[('rfk jr.', 'PERSON')]"
Can TikTok's '75 Soft Challenge' Fitness Trend Help You Lose Weight?,"The 75 Soft Challenge is a more doable alternative to the 75 Hard program, relaxing the requirements for exercise and water consumption. 75 Soft may…",2025-02-21 00:00:00,https://www.healthline.com/health-news/75-soft-challenge-fitness-trend-tiktok-weight-loss,75 soft challenge doable alternative 75 hard program relax requirement exercise water consumption 75 soft may …,-0.030555555555555558,Negative,"['75', 'water', 'may', 'study', 'issue', 'high']","[('75', 'CARDINAL'), ('75', 'CARDINAL'), ('75', 'CARDINAL')]"
"Heavy Smoking Linked to Unexplained Stroke in Young Adults, Study Finds","Researchers say the risk of an unexplained stroke is higher in younger adults who smoke, especially males and people ages 45 to 49. People who smoke…",2025-02-20 00:00:00,https://www.healthline.com/health-news/smoking-may-cause-unexplained-stroke-younger-adults,researcher say risk unexplained stroke high young adult smoke especially male people age 45 49 people smoke …,0.06200000000000001,Positive,"['smoke', 'people', 'high', 'say', 'stroke', 'risk']","[('age 45', 'DATE')]"
Trump Issues Executive Order to Expand IVF Access: What to Know,"Infertility rates are rising in the U.S. To meet the growing need for fertility treatments, President Trump issued an executive order to expand in…",2025-02-19 00:00:00,https://www.healthline.com/health-news/trump-executive-order-expand-ivf-access-reduce-costs,infertility rate rise u.s. meet grow need fertility treatment president trump issue executive order expand …,0.0,Neutral,"['president', 'trump', 'issue', 'order', 'grow', 'human']","[('u.s.', 'GPE')]"
"Hormonal Birth Control Linked to Heart Attack and Stroke, but Overall Risk Is Low",A new study confirms previous findings that hormonal birth control is associated with an increased risk of heart attack and stroke. While the vaginal…,2025-02-18 00:00:00,https://www.healthline.com/health-news/hormonal-birth-control-heart-attack-stroke-risk,new study confirm previous finding hormonal birth control associate increase risk heart attack stroke vaginal …,-0.015151515151515152,Negative,"['attack', 'heart', 'control', 'confirm', 'associate', 'stroke']",[]
Federal Judges Block Executive Orders Targeting Trans People: What to Know,Federal judges temporarily halted executive orders issued by President Trump targeting the transgender community. Health agencies restored deleted…,2025-02-17 00:00:00,https://www.healthline.com/health-news/president-trump-executive-orders-transgender-health-impacts,federal judge temporarily halt executive order issue president trump target transgender community health agency restore delete …,0.0,Neutral,"['federal', 'president', 'trump', 'order', 'issue', 'health']",[]
Why Super Bowl Champ Dallas Goedert Is Raising Awareness About Plaque Psoriasis,Super Bowl LIX champion Dallas Goedert of the Philadelphia Eagles shares his journey with plaque psoriasis. After 20 years of living with the…,2025-02-15 00:00:00,https://www.healthline.com/health-news/eagles-tight-end-dallas-goedert-talks-plaque-psoriasis,super bowl lix champion dallas goedert philadelphia eagles share journey plaque psoriasis 20 year live …,0.23484848484848483,Positive,"['share', 'water', 'disease', 'human', 'high', 'hhs']","[('dallas', 'GPE'), ('philadelphia eagles', 'ORG'), ('20 year', 'DATE')]"
NSYNC’s Lance Bass Says Managing Type 1.5 Diabetes Is a 'Full-Time Job',"NSYNC’s Lance Bass shares his journey with type 1.5 diabetes, also known as latent autoimmune diabetes in adults (LADA). The singer was misdiagnosed…",2025-02-14 00:00:00,https://www.healthline.com/health-news/lance-bass-nsync-living-with-diabetes,nsync ’s lance bass share journey type 1.5 diabete also know latent autoimmune diabetes adult lada singer misdiagnose …,-0.02500000000000001,Negative,"['share', 'water', 'disease', 'human', 'high', 'hhs']","[('1.5', 'CARDINAL')]"
RFK Jr. Is New Health Secretary: What ‘Make America Healthy Again’ Means for U.S.,Robert F. Kennedy Jr. is expected to shake up the U.S. healthcare industry after being confirmed by the Senate as the new secretary for Health and…,2025-02-13 00:00:00,https://www.healthline.com/health-news/how-make-america-healthy-again-could-impact-health-rfk-jr,robert f. kennedy jr. expect shake u.s. healthcare industry confirm senate new secretary health …,0.13636363636363635,Positive,"['kennedy', 'robert', 'secretary', 'confirm', 'jr', 'health']","[('robert f. kennedy jr.', 'PERSON'), ('u.s.', 'GPE'), ('senate', 'ORG')]"
CDC Reports Highest Number of Flu Cases in 15 Years. Here’s How to Protect Yourself,The Centers for Disease Control and Prevention reports that flu cases in the United States this season are at their highest levels since the 2009–2010…,2025-02-13 00:00:00,https://www.healthline.com/health-news/2025-flu-season-how-to-protect-yourself,centers disease control prevention report flu case united states season high level since 2009–2010 …,0.16,Positive,"['control', 'high', 'case', 'season', 'flu', 'prevention']","[('united states', 'GPE'), ('2009–2010', 'DATE')]"
"Federal Health Agencies Ordered to Restore Public-Facing Webpages, Data","After Doctors for America filed a lawsuit against the HHS, CDC, and FDA, a federal judge ordered health agencies to restore public-facing media…",2025-02-12 00:00:00,https://www.healthline.com/health-news/judge-orders-hhs-cdc-fda-restore-deleted-health-data,doctor america file lawsuit hhs cdc fda federal judge order health agency restore public face medium …,0.0,Neutral,"['federal', 'order', 'hhs', 'cdc', 'health', 'water']","[('america', 'GPE'), ('cdc fda', 'ORG')]"
Amy Schumer’s ‘Moon Face’ In ‘Kinda Pregnant’ Likely a Symptom of Cushing’s Syndrome,"Amy Schumer joked about her ""moon face"" in her new comedy film ""Kinda Pregnant."" The actor and standup comedian has Cushing's syndrome, a condition…",2025-02-11 00:00:00,https://www.healthline.com/health-news/amy-schumer-moon-face-kinda-pregnant-movie,amy schumer joke moon face new comedy film kinda pregnant actor standup comedian cushing 's syndrome condition …,0.23484848484848483,Positive,"['comedian', 'new', 'water', 'federal', 'human', 'high']","[('amy schumer', 'PERSON'), ('kinda', 'GPE')]"
"Later Onset Menopause Linked to Lower Risk of Stroke, Heart Attack",A new study reports that later-onset menopause is associated with a reduced risk of cardiovascular compared to those who stop menstruating at an…,2025-02-10 00:00:00,https://www.healthline.com/health-news/later-onset-menopause-stroke-heart-attack-risk,new study report later onset menopause associate reduce risk cardiovascular compare stop menstruate …,0.06818181818181818,Positive,"['compare', 'reduce', 'associate', 'report', 'risk', 'study']","[('new study report', 'ORG')]"
Comedian Wanda Sykes Says Humor Helped Her Through Her Breast Cancer Journey,Comedian Wanda Sykes is raising breast cancer awareness in a new commercial airing on Superbowl Sunday. After Sykes was diagnosed with stage 0 breast…,2025-02-09 00:00:00,https://www.healthline.com/health-news/wanda-sykes-breast-cancer-awareness-campaign,comedian wanda sykes raise breast cancer awareness new commercial airing superbowl sunday sykes diagnose stage 0 breast …,0.06818181818181818,Positive,"['comedian', 'raise', 'cancer', 'new', 'water', 'female']","[('sunday', 'DATE'), ('0', 'CARDINAL')]"
"Health Benefits of Cold Water Therapy May Be Short-Lived, Study Finds",A new study found that cold-water immersion offers a number of short-lived potential health benefits. In the 12 hours after cold-water immersion…,2025-02-08 00:00:00,https://www.healthline.com/health-news/health-claims-cold-water-immersion,new study find cold water immersion offer number short live potential health benefit 12 hour cold water immersion …,-0.15454545454545454,Negative,"['water', 'health', 'find', 'study', 'new', 'federal']","[('12 hour', 'TIME')]"
"New Type of Bird Flu Detected in Us Dairy Cows. Is It Safe To Consume Milk, Beef?","A new strain of the H5N1 bird flu virus was detected in dairy cows, but the risk of human transmission remains low. The nation’s milk supply is safe…",2025-02-07 00:00:00,https://www.healthline.com/health-news/new-bird-flu-strain-dairy-cows,new strain h5n1 bird flu virus detect dairy cow risk human transmission remain low nation ’s milk supply safe …,0.10060606060606062,Positive,"['human', 'flu', 'risk', 'new', 'water', 'federal']",[]
How Jennifer Aniston's Low-Impact Workout Could Improve Your Menopause Symptoms,"Jennifer Aniston has partnered with Pvolve, a fitness program backed by research showing the benefits of the low impact workout for menopausal females.",2025-02-06 00:00:00,https://www.healthline.com/health-news/jennifer-aniston-pvolve-fitness-program-menopause-symptoms,jennifer aniston partner pvolve fitness program back research show benefit low impact workout menopausal female,0.0,Neutral,"['female', 'water', 'federal', 'issue', 'human', 'high']","[('jennifer aniston', 'PERSON')]"
"Swapping Regular Salt for Substitutes May Lower Risk of Recurrent Stroke, Death","Swapping regular salt for salt substitutes may reduce the risk of recurrent stroke and death. In a recent study, compared to regular salt intake, salt…",2025-02-05 00:00:00,https://www.healthline.com/health-news/salt-substitutes-reduce-stroke-recurrence-death-risk,swap regular salt salt substitute may reduce risk recurrent stroke death recent study compare regular salt intake salt …,0.0,Neutral,"['salt', 'regular', 'reduce', 'compare', 'may', 'stroke']",[]
How This 37-Year-Old Mom Learned to Thrive With Congestive Heart Failure,"Joanne Matos, 37, was born with an enlarged heart and has congestive heart failure. Despite a stroke and two silent heart attacks, Matos learned how…",2025-02-04 00:00:00,https://www.healthline.com/health-news/joanne-matos-heart-failure-heart-attack-stroke,joanne matos 37 bear enlarged heart congestive heart failure despite stroke two silent heart attack matos learn …,-0.15833333333333333,Negative,"['heart', 'attack', 'stroke', 'water', 'federal', 'human']","[('joanne matos', 'PERSON'), ('37', 'CARDINAL'), ('two', 'CARDINAL')]"
Adding Higher-Intensity Walking to Stroke Treatment May Improve Recovery,New research suggests that adding higher-intensity walking to physical therapy could help improve stroke recovery. Stroke survivors in a…,2025-02-03 00:00:00,https://www.healthline.com/health-news/higher-intensity-walking-early-stroke-recovery,new research suggest add high intensity walk physical therapy could help improve stroke recovery stroke survivor …,0.0987878787878788,Positive,"['stroke', 'high', 'new', 'water', 'federal', 'human']",[]
